city_pair_origin,city_pair_destination,year,month,rev_passengers,aircraft_trips_(a),rev_passengers_lf_%,distance_(km),rpks,asks,seats,date,segment
MEL,SYD,2014,7,700207,4723,81.3648284813561,706,494346142,607567362,860577,2014-07-01,MEL-SYD
MEL,SYD,2014,8,707012,4727,82.90293720003893,706,499150472,602090214,852819,2014-08-01,MEL-SYD
MEL,SYD,2014,9,688231,4802,79.76770816672347,706,485891086,609132564,862794,2014-09-01,MEL-SYD
MEL,SYD,2014,10,761619,4973,84.94286909242993,706,537703014,633017250,896625,2014-10-01,MEL-SYD
MEL,SYD,2014,11,734701,4768,85.37981589965938,706,518698906,607519354,860509,2014-11-01,MEL-SYD
MEL,SYD,2014,12,688886,4695,83.28318187148572,706,486353516,583975666,827161,2014-12-01,MEL-SYD
MEL,SYD,2015,1,663488,4678,81.87389094965559,706,468422528,572126868,810378,2015-01-01,MEL-SYD
MEL,SYD,2015,2,695373,4742,84.61059243098809,706,490933338,580226806,821851,2015-02-01,MEL-SYD
MEL,SYD,2015,3,768124,5300,83.57295023642537,706,542295544,648888836,919106,2015-03-01,MEL-SYD
MEL,SYD,2015,4,688146,4894,79.65491735819398,706,485831076,609919754,863909,2015-04-01,MEL-SYD
MEL,SYD,2015,5,696844,5033,78.04348118249462,706,491971864,630381752,892892,2015-05-01,MEL-SYD
MEL,SYD,2015,6,662010,4967,75.13414988469012,706,467379060,622059424,881104,2015-06-01,MEL-SYD
MEL,SYD,2015,7,752993,5246,81.33325124323297,706,531613058,653623272,925812,2015-07-01,MEL-SYD
MEL,SYD,2015,8,714015,5153,77.97758355384654,706,504094590,646460902,915667,2015-08-01,MEL-SYD
MEL,SYD,2015,9,706022,5008,79.28136934646564,706,498451532,628712062,890527,2015-09-01,MEL-SYD
MEL,SYD,2015,10,767170,5164,84.08899840079971,706,541622020,644105686,912331,2015-10-01,MEL-SYD
MEL,SYD,2015,11,765870,4980,86.9852122754015,706,540704220,621604760,880460,2015-11-01,MEL-SYD
MEL,SYD,2015,12,733117,4925,83.81995648460556,706,517580602,617490898,874633,2015-12-01,MEL-SYD
MEL,SYD,2016,1,698603,4636,84.39782543038356,706,493213718,584391500,827750,2016-01-01,MEL-SYD
MEL,SYD,2016,2,743202,4889,85.3031513415239,706,524700612,615101088,871248,2016-02-01,MEL-SYD
MEL,SYD,2016,3,775148,5132,84.52781960954512,706,547254488,647425298,917033,2016-03-01,MEL-SYD
MEL,SYD,2016,4,724216,4876,81.97700347958771,706,511296496,623707228,883438,2016-04-01,MEL-SYD
MEL,SYD,2016,5,725447,4931,80.89401385167271,706,512165582,633131622,896787,2016-05-01,MEL-SYD
